なし (Neutral) : トーン指定なしの標準描写。
日常 (everyday-life) : 何気ない日常のシーン。
会話多め (Dialogue-driven) : キャラ同士の会話を中心に展開。
地の文多め (Narration-driven) : 地の文・情景描写が主体。
シリアス (Serious) : 真面目で重みのある雰囲気。
コミカル (Comical) : ユーモラスで笑いを誘う描写。
ダーク (Dark) : 暗く重苦しい陰鬱な空気。
不穏 (Ominous) : 悪い予感が漂う嫌な雰囲気。
ホラー (Horror) : 怪奇や恐怖を感じさせる演出。
ミステリー (Mystery) : 謎めいた不思議なムード。
サスペンス (Suspense) : 持続する緊張とハラハラ感。
スリラー (Thriller) : 危機が加速する切迫した緊迫感。
ノワール (Noir) : 退廃とハードボイルドな闇美学。
マカブレ (Macabre) : 死や腐敗を美学的に描く不気味さ。
ドリーミー (Dreamy) : 夢のように朧げで幻想的なムード。
ローファイ (Lo-fi) : 脱力系でチルいゆったり空気感。
ゼン (Zen) : 静寂と無常を味わう瞑想的雰囲気。
ハイテンション (High-tension) : 感情が爆発し最高潮の勢い。
感動 (Moving) : 心を揺さぶり涙腺に訴える場面。
悲劇 (Tragic) : 救いのない不幸や悲惨な展開。
絶望 (Despair) : 希望を失い打ちひしがれる状況。
切ない (Bittersweet) : 胸が締めつけられる哀愁。
焦燥 (Restless) : 焦りや苛立ちで落ち着かない心理。
情熱 (Passionate) : 感情が激しく高ぶる熱量。
爽快 (Exhilarating) : スカッとする昂揚感。
ハッピー (Happy) : 登場人物が幸福に包まれる展開。
インスピレーショナル (Inspirational) : 読者に勇気や希望を与える、鼓舞的で前向きな余韻。
ほっこり (Heartwarming) : 温かさと優しさが満ちる、安心感あふれる幸福ムード。
アングスト (Angst) : 内面の苦悩や葛藤を深くえぐる張り詰めた感情。
カタルシス (Cathartic) : 強い感情の噴出と浄化を経て心が晴れる解放感。
アイロニカル (Ironic) : 皮肉と逆説を帯び、表と裏の落差で含みを持たせる語り口。
パロディ (Parody) : 既存作品やジャンルを茶化しつつ愛情を込めて模倣する笑い。
ヒロイック (Heroic) : 勇敢さ・高潔さ・使命感を讃える英雄譚調の高揚。
コージー (Cozy) : 静かで居心地の良い、穏やかなくつろぎ空気。
フラッフ (Fluffy) : 甘さと可愛さを前面に押し出した癒やし系トーン。
ヒューマンドラマ (Human-Drama) : 人間関係や成長を緻密に掘り下げる共感重視のドラマ性。
ポリティカル (Political) : 社会・政治問題を主軸に緊張と論争を描く鋭い視点。
エクスペリメンタル (Experimental) : 形式や構造を大胆に崩し、前衛的手法で挑戦する作風。
メランコリック (Melancholic) : しっとりとした物悲しさ。
ノスタルジック (Nostalgic) : 過去への郷愁や懐かしさ。
ファンタジー (Fantasy) : 魔法など非現実要素の幻想世界。
サイバーパンク (Cyberpunk) : 高技術と退廃が交差する近未来。
スチームパンク (Steampunk) : 蒸気機関と歯車が彩る産業革命風。
ディストピア (Dystopian) : 抑圧社会での絶望と抵抗。
ユートピア (Utopian) : 調和と理想に満ちた明るい未来像。
ポストアポカリプス (Post-apocalyptic) : 世界崩壊後の荒廃と生存。
エピック (Epic) : 巨大スケールと英雄譚の壮大さ。
アドベンチャー (Adventure) : 冒険心あふれる探索と挑戦。
ヴィクトリアン (Victorian) : 19世紀英国風の雅やかなロマン。
フォークロア (Folklore) : 民話・伝承的な郷愁と神秘。
アダルト (Adult) : 成人向けで露骨な性・暴力描写。
エロティック (Erotic) : 性的興奮を誘う色っぽい描写。
官能 (Sensual) : 五感に訴える官能的表現。
淫語 (Explicit language) : 直接的で卑猥な単語を用いる。
ロマンス (Romance) : 恋愛模様を甘く情緒豊かに描写。
ソフトエロティック (Soft-Erotic) : 穏やかでロマンティックな性描写。
ライトエッチ (Mild-Ecchi) : 露骨すぎない軽めの色気。
ラブコメエロ (Ecchi-Comedy) : ラッキースケベなどコメディタッチの性的描写。
スローバーン (Slow-burn Romance) : じれったく高まる官能と感情。
パッションロマンス (Passionate-Romance) : 激しい愛情と熱い性愛。
センシュアルロマンス (Sensual-Romance) : 官能とロマンをバランス良く織り交ぜる。
キンク／フェティッシュ (Kink/Fetish) : 特定嗜好やフェティシズム中心の描写。
ボンデージ (Bondage) : 緊縛・拘束シチュエーション。
BDSM : 支配と服従、SとMを扱うハード関係。
ドミナント／サブミッシブ (Dom/Sub) : 主従の権力構造と心理的高揚。
ヴォワイユリズム (Voyeuristic) : 覗き見・見られるスリル。
エキシビショニズム (Exhibitionistic) : 露出による興奮を描写。
フォンダリング (Fondling) : 愛撫や前戯に焦点を当てる。
インモラル (Immoral) : 背徳感と禁断の関係性。
ハードコア (Hardcore) : 性行為を詳細かつ直接的に描く。
ポルノグラフィック (Pornographic) : 行為描写を最優先する刺激的表現。
スマット (Smut) : ストーリーに濃密な性描写を頻繁に挿入。
グラマラス (Glamorous-Erotic) : 体の美しさ・官能的な外見を強調。
ライジングヒート (Rising-Heat) : 徐々に高まる欲望と緊張。
テンダーロマンス (Tender-Erotic) : 優しさと愛情深さの穏やかな性愛。
ギャグ (Gag) : 一発オチや小ネタで笑わせる。
スラップスティック (Slapstick) : ドタバタ物理ギャグの軽快さ。
サティリカル (Satirical) : 風刺と皮肉で社会や人物を批評。
ダークユーモア (Dark-humor) : ブラックジョークで笑いと不穏を両立。
コンテンプレイティブ (Contemplative) : 思索的で静かな余韻。
サイコロジカル (Psychological) : 精神・内面描写を深掘り。
グリッティ (Gritty) : 汚れたリアルさと残酷さを強調。
カオティック (Chaotic) : 無秩序で予測不能な混沌。
スプラッター (Splatter) : 血飛沫など過激ゴア表現が主軸。
